time,swing,boom,arm,bucket,swingmodel,boommodel,armmodel,bucketmodel
23.797362,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.809863,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.822479,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.837009,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.850321,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.880089,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.906076,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.918065,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.938348,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.969497,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.980583,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
23.996870,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.009737,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.023598,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.036764,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.049871,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.062489,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.101805,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.124222,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.137602,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.151827,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.167358,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.182092,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.228438,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.241318,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.274870,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.294155,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.318218,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.345460,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.365184,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.384383,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.407288,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.424691,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.435805,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.465576,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.488712,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.501560,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.516149,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.537456,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.550099,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.576021,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.604799,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.615961,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.636727,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.657051,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.686834,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
24.716352,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.737747,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.748991,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.773186,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.788795,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.800690,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.813094,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.842389,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.860512,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.876020,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.888770,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.908182,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.934715,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.948050,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
24.966458,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
24.989468,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.001736,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.030350,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.043516,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.065842,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.078379,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.090904,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.109263,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.126723,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.139923,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.153056,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.166286,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.181379,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.194749,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.206465,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.218803,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.232576,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.243607,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.257083,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.268205,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.287963,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.332683,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.353941,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.370597,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.386389,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.405019,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.436284,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.459900,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.475664,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.495302,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.511214,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.521721,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.551791,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.570432,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.596436,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.618265,-1.568,-0.956,1.5712,-0.5224,89.83978,333.5692,90,330.0687
25.647659,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.672567,-1.5688,-0.956,1.5712,-0.5224,89.88562,333.5692,90,330.0687
25.715608,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.729493,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.741028,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.769349,-1.568,-0.956,1.5712,-0.5228,89.83978,333.5692,90,330.0458
25.780893,-1.568,-0.956,1.5712,-0.5228,89.83978,333.5692,90,330.0458
25.813236,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.824567,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.837064,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.874104,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
25.897785,-1.5684,-0.956,1.5712,-0.5224,89.8627,333.5692,90,330.0687
